State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
NY,,P,COCAINE HYDROCHLORIDE, 69 , 24 ,2007,1," 1,200 "
MO,,P,COCAINE, 77 , 38 ,2007,1," 1,200 "
NJ,,P,COCAINE HYDROCHLORIDE, 78 , 55 ,2007,1," 1,200 "
CA,,P,COCAINE, 62 , 45 ,2007,1," 1,200 "
UT,,P,COCAINE HYDROCHLORIDE, 37 , 73 ,2007,1," 1,100 "
WA,,P,COCAINE, 79 , 46 ,2007,1," 1,100 "
WA,,P,COCAINE, 82 , 4 ,2007,1," 1,100 "
MA,,P,COCAINE, 76 , 26 ,2007,1," 1,100 "
,PR,P,COCAINE, 70 , 59 ,2007,1," 1,100 "
VA,,P,COCAINE HYDROCHLORIDE, 35 , 28 ,2007,1," 1,100 "
NY,,P,COCAINE, 62 , 17 ,2007,1," 1,000 "
FL,,P,COCAINE, 68 , 17 ,2007,1," 1,000 "
VA,,P,COCAINE HYDROCHLORIDE, 63 , 28 ,2007,1," 1,000 "
VA,,P,COCAINE, 62 , 27 ,2007,1," 1,000 "
,PR,P,COCAINE, 39 , 62 ,2007,1," 1,000 "
NY,,P,COCAINE HYDROCHLORIDE, 76 , 29 ,2007,1," 1,000 "
NY,,P,COCAINE HYDROCHLORIDE, 74 , 28 ,2007,1," 1,000 "
PA,,P,COCAINE HYDROCHLORIDE, 83 , 15 ,2007,1," 1,000 "
FL,,P,COCAINE, 66 , 23 ,2007,1," 1,000 "
OH,,P,COCAINE, 73 , 16 ,2007,1," 1,000 "
IN,,P,COCAINE, 72 , 26 ,2007,1," 1,000 "
MA,,P,COCAINE, 44 , 28 ,2007,1, 950 
NY,,P,COCAINE, 78 , 27 ,2007,1, 950 
IL,,P,COCAINE HYDROCHLORIDE, 22 , 41 ,2007,1, 930 
MA,,P,COCAINE HYDROCHLORIDE, 55 , 21 ,2007,1, 900 
MA,,P,COCAINE, 77 , 21 ,2007,1, 900 
NY,,P,COCAINE, 80 , 28 ,2007,1, 900 
FL,,P,COCAINE, 47 , 32 ,2007,1, 900 
IN,,P,COCAINE HYDROCHLORIDE, 76 , 27 ,2007,1, 900 
CT,,P,COCAINE, 63 , 21 ,2007,1, 900 
OH,,P,COCAINE, 43 , 28 ,2007,1, 880 
CT,,P,COCAINE HYDROCHLORIDE, 92 , 28 ,2007,1, 850 
CT,,P,COCAINE HYDROCHLORIDE, 88 , 27 ,2007,1, 850 
CT,,P,COCAINE HYDROCHLORIDE, 84 , 28 ,2007,1, 850 
GA,,P,COCAINE, 62 , 23 ,2007,1, 850 
NY,,P,COCAINE, 75 , 27 ,2007,1, 850 
IN,,P,COCAINE HYDROCHLORIDE, 65 , 28 ,2007,1, 850 
NY,,P,COCAINE HYDROCHLORIDE, 83 , 28 ,2007,1, 850 
PA,,P,COCAINE, 60 , 29 ,2007,1, 850 
SC,,P,COCAINE, 93 , 24 ,2007,1, 850 
IL,,P,COCAINE HYDROCHLORIDE, 77 , 27 ,2007,1, 850 
GA,,P,COCAINE, 79 , 23 ,2007,1, 850 
CT,,P,COCAINE, 47 , 27 ,2007,1, 850 
NJ,,P,COCAINE, 51 , 24 ,2007,1, 840 
MS,,P,COCAINE, 79 , 11 ,2007,1, 810 
WA,,P,COCAINE, 73 , 27 ,2007,1, 800 
NY,,P,COCAINE, 67 , 26 ,2007,1, 800 
MO,,P,COCAINE, 79 , 25 ,2007,1, 800 
WV,,P,COCAINE, 74 , 7 ,2007,1, 800 
TN,,P,COCAINE HYDROCHLORIDE, 76 , 27 ,2007,1, 800 
MO,,P,COCAINE HYDROCHLORIDE, 45 , 28 ,2007,1, 800 
NY,,P,COCAINE HYDROCHLORIDE, 12 , 24 ,2007,1, 800 
CT,,P,COCAINE HYDROCHLORIDE, 79 , 25 ,2007,1, 800 
NY,,P,COCAINE, 63 , 27 ,2007,1, 800 
VA,,P,COCAINE, 36 , 27 ,2007,1, 800 
LA,,P,COCAINE, 40 , 21 ,2007,1, 800 
OH,,P,COCAINE, 68 , 20 ,2007,1, 800 
MO,,P,COCAINE HYDROCHLORIDE, 35 , 28 ,2007,1, 800 
FL,,P,COCAINE, 67 , 13 ,2007,1, 800 
IL,,P,COCAINE, 58 , 13 ,2007,1, 800 
DC,,P,COCAINE, 84 , 13 ,2007,1, 800 
IL,,P,COCAINE, 86 , 26 ,2007,1, 800 
CT,,P,COCAINE HYDROCHLORIDE, 78 , 24 ,2007,1, 800 
MS,,P,COCAINE, 75 , 16 ,2007,1, 800 
LA,,P,COCAINE, 39 , 18 ,2007,1, 800 
CA,,P,COCAINE HYDROCHLORIDE, 87 , 28 ,2007,1, 800 
VA,,P,COCAINE, 60 , 21 ,2007,1, 800 
MA,,P,COCAINE HYDROCHLORIDE, 50 , 26 ,2007,1, 800 
IL,,P,COCAINE, 48 , 20 ,2007,1, 800 
IL,,P,COCAINE, 66 , 26 ,2007,1, 800 
OR,,P,COCAINE, 52 , 39 ,2007,1, 780 
MO,,P,COCAINE, 77 , 24 ,2007,1, 760 
MS,,P,COCAINE HYDROCHLORIDE, 46 , 28 ,2007,1, 760 
SC,,P,COCAINE, 85 , 23 ,2007,1, 750 
NM,,P,COCAINE HYDROCHLORIDE, 51 , 34 ,2007,1, 750 
